Model,Segment,Text
OnePlus 1,Introduction,"The days of the $600 smartphone aren't over quite yet, but if the OnePlus One is any indication of things to come, the end is nigh. For $299 (16GB) or $349 (64GB), OnePlus delivers a remarkably high-end phablet that in many ways eclipses the quality on offer from big names like Samsung and LG. There are still a handful of bugs here, but none too egregious, and I'm optimistic that OnePlus can issue fixes in short order. From its name-brand processor to its impeccable display, the OnePlus One is every bit the hero device fans have anticipated. Dollar-for-dollar, it's the best unlocked smartphone value around. Our Editors' Choice, however, remains the Google Nexus 6, which redefines the mobile computing experience with a massive display, powerful performance, and stock Android software."
OnePlus 1,"Design, Features, and Call Quality","The OnePlus One doesn't feel like a sub-$400 phone, unless your expectations are informed solely by Nexus 5( at Amazon) experience. Its clean lines and tight build quality evoke a sense of desirability that's sorely lacking in the budget-friendly realm. Yes it's big (6.02 by 2.99 by 0.35 inches) and yes it's all plastic, but size is a given with phablets, and think solid Nokia polycarbonate—not glossy and flexible Samsung plastic."
OnePlus 1,"Design, Features, and Call Quality","Our white test unit features a so-called silk finish, which is just a fancy way to say matte, while the black model has a textured sandstone finish. The back cover is actually removable too, and OnePlus promises swappable options in finishes like real wood and carbon fiber. OnePlus's philosophy might be ""never settle,"" but fans of removable batteries and expandable storage will have to settle for the non-removable 3,100mAh battery and built-in storage. In our initial tests, the OnePlus One lasted for 17 hours of continuous talk time, but dropped the call with about 10% battery life remaining. That should be more than enough battery life for a day's worth of moderate use, and anecdotally, I never felt strapped for battery life while testing."
OnePlus 1,"Design, Features, and Call Quality","The 5.5-inch, 1080p IPS display is on par with the best I've seen, including the HTC One (M8) and Samsung Galaxy S5. You won't be able to discern any real difference in sharpness at this level (401 ppi), while the viewing angle is nearly 180 degrees and color reproduction is neutral without looking muted. Below the display are capacitive Menu, Home, and Back buttons, but you can disable them in favor of standard software navigation buttons."
OnePlus 1,"Design, Features, and Call Quality","There are two speaker grilles flanking the micro USB port on the bottom edge, which get surprisingly loud, but still sound pretty thin. Above the display is a multi-colored notification LED that is far too bright on its default configuration, but can be toned down in the settings menu."
OnePlus 1,"Design, Features, and Call Quality","With GSM (850/900/1800/1900MHz), UMTS (Bands 1/2/4/5/8), and LTE (Bands 1/3/4/7/17/38/40), the OnePlus One is well equipped to handle a variety of networks, including AT&T and T-Mobile here in the U.S. I tested the phone with an AT&T SIM, which worked perfectly in New York City."
OnePlus 1,"Design, Features, and Call Quality","Call quality, unfortunately, was one of the biggest sore spots for the OnePlus One. Volume in the earpiece is frustratingly weak and made callers on the other end sound muted, distant, and difficult to hear over even the most innocuous of ambient noise. Transmissions through the mic fared better, coming through more clearly, but still on the low side for volume. The headphone jack works fine for music, unlike in our initial hands on, but the OnePlus One couldn't route calls through a wired headset."
OnePlus 1,"Design, Features, and Call Quality","I also noticed a bug when it came to the phone's proximity sensor on calls. In most phones, taking the phone away from your face during or after a call will wake the screen from sleep. This almost never worked correctly in my tests, making it near impossible for me to end a call without fiddling with the Power button. Group texting worked fine with a number of iPhone and Android users, but the OnePlus one had some issues downloading pictures sent as MMS."
OnePlus 1,"Design, Features, and Call Quality","Also onboard are dual-band 802.11b/g/n/ac Wi-Fi, NFC, and Bluetooth 4.0. The OnePlus One had no problem connecting to a multitude of Wi-Fi networks and easily paired with an Era by Jawbone Bluetooth headset."
OnePlus 1,Performance and CyanogenMod,"The OnePlus One is powered by a quad-core 2.5GHz Qualcomm Snapdragon 801 SoC and 3GB RAM. It's the fastest silicon around at the moment and the same foundation found in flagship phones like the GS5 and M8. This alone is a triumph for a budget-friendly, unlocked phone, many of which opt for off-the-shelf parts from companies like MediaTek. Performance is everything you'd expect given the specs—there's immediacy to every input and I couldn't find any tasks that taxed the One too heavily."
